ID;Ürün Adı;Fiyat (EUR);Marka;Kategori;Kategori Kodu;Ürün Kodu;Spec: displacement_cm3
1;Embraco EMIE 40 HJP (1/8 Hp LBP);76.43;Embraco;Kompresörler;compressor;;
2;Embraco ERUS 60 HLP (1/6 Hp LBP);64.67;Embraco;Kompresörler;compressor;;
3;Embraco EMYE 70 HEP (1/5 Hp LBP);73.85;Embraco;Kompresörler;compressor;;
4;Embraco ERUe 70 HLP;68.84;Embraco;Kompresörler;compressor;;
5;Embraco EGAS 80 HLR;79.45;Embraco;Kompresörler;compressor;;
6;Embraco ERU2 80 HSP;67.73;Embraco;Kompresörler;compressor;;
7;Embraco EGAS 90 HLR;84.99;Embraco;Kompresörler;compressor;;
8;Embraco EMZ 90 HLC;80.74;Embraco;Kompresörler;compressor;;
9;Embraco EGAS 100 HLR;101.01;Embraco;Kompresörler;compressor;;
10;Embraco EMZ 100 HLC;89.02;Embraco;Kompresörler;compressor;;
11;Embraco FFU 160 HAX;300.00;Embraco;Kompresörler;compressor;;
12;Embraco EMY 70 CLP;87.68;Embraco;Kompresörler;compressor;;
13;Embraco EMY 80 CLP;93.47;Embraco;Kompresörler;compressor;;
14;Embraco EGYS 90 CLP;97.60;Embraco;Kompresörler;compressor;;
15;Embraco NBY 1118 Y;120.23;Embraco;Kompresörler;compressor;;
16;Embraco EMY 3118 Y (1/5);78.10;Embraco;Kompresörler;compressor;;
17;Embraco EM 30 HHR;88.78;Embraco;Kompresörler;compressor;;
18;Embraco EM 65 HHR;91.38;Embraco;Kompresörler;compressor;;
19;Embraco FF 8.5 HBK;109.37;Embraco;Kompresörler;compressor;;
20;Embraco FFI 12 HBK;111.72;Embraco;Kompresörler;compressor;;
21;Embraco EMT 6144 Z;94.75;Embraco;Kompresörler;compressor;;
22;Embraco EMT 6160 Z;96.28;Embraco;Kompresörler;compressor;;
23;Embraco NEK 6160 Z - dual frekans;114.71;Embraco;Kompresörler;compressor;;
24;Embraco EMT 6170 Z;97.78;Embraco;Kompresörler;compressor;;
25;Embraco NEK 6170 Z - dual frekans;110.61;Embraco;Kompresörler;compressor;;
